# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 87dab8c29948a1a2e11cacc88f49d182bbd2e933
# git_state: dirty
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
poseidon2,,bn254,3,single,8+56,65536,1,308375351
poseidon2,,bn254,4,single,8+56,32768,1,273132180
poseidon2,,goldilocks,8,single,8+22,524288,1,390308657
poseidon2,,goldilocks,12,single,8+22,262144,1,267477656
poseidon2,,mersenne31,16,single,8+14,262144,1,250403423
poseidon2,,mersenne31,24,single,8+22,131072,1,209032605
poseidon2,,koalabear,16,single,8+20,262144,1,287036349
poseidon2,,koalabear,24,single,8+23,131072,1,205984940
poseidon2,,babybear,16,single,8+13,262144,1,305214123
poseidon2,,babybear,24,single,8+21,131072,1,247466034
neptune,,bls12_381,4,single,6+69,32768,1,324927988
neptune,,bn254,4,single,6+69,32768,1,313395209
neptune,,goldilocks,8,single,6+38,262144,1,315505823
neptune,,goldilocks,12,single,6+42,131072,1,303991339
psquarehash,,mersenne31,16,single,52,262144,1,242549028
psquarehash,,mersenne31,24,single,52,262144,1,353663939
psquarehash,,koalabear,16,single,52,262144,1,311174551
psquarehash,,koalabear,24,single,52,131072,1,230295153
psquarehash,,babybear,16,single,52,262144,1,310316728
psquarehash,,babybear,24,single,52,131072,1,230217868
rescue_prime,,bls12_381,3,current,16,1024,1,343101323
rescue_prime,,bls12_381,3,original,14,1024,1,300074681
rescue_prime,,bls12_381,4,current,13,1024,1,373121314
rescue_prime,,bls12_381,4,original,11,1024,1,315726606
rescue_prime,,bn254,3,current,16,1024,1,336648376
rescue_prime,,bn254,3,original,14,1024,1,294524791
rescue_prime,,bn254,4,current,13,1024,1,366041245
rescue_prime,,bn254,4,original,11,1024,1,309736383
rescue_prime,,goldilocks,8,single,8,16384,1,252313321
rescue_prime,,goldilocks,12,single,8,16384,1,393494690
rescue_prime,,mersenne31,16,single,8,16384,1,328637749
rescue_prime,,mersenne31,24,single,8,8192,1,264798429
