# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 034f65a85002594e7ad8ca6dd70ecf52e1169ff2
# git_state: clean
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
gmimc2,alpha=2,babybear,24,single,264,65536,1,235308643
poseidon,,bls12_381,3,single,8+56,16384,1,255092416
poseidon,,bls12_381,4,single,8+56,16384,1,381349065
poseidon,,bn254,3,single,8+56,16384,1,245802760
poseidon,,bn254,4,single,8+56,16384,1,368879247
poseidon,,goldilocks,8,single,8+22,131072,1,324433978
poseidon,,goldilocks,12,single,8+22,65536,1,309089690
poseidon,,mersenne31,16,single,8+14,65536,1,323212887
poseidon,,mersenne31,24,single,8+22,16384,1,226367669
poseidon,,koalabear,16,single,8+20,32768,1,251999318
poseidon,,koalabear,24,single,8+23,16384,1,304020410
poseidon,,babybear,16,single,8+13,32768,1,201821679
poseidon,,babybear,24,single,8+21,16384,1,288018603
poseidon2,,bls12_381,3,single,8+56,65536,1,317329125
poseidon2,,bls12_381,4,single,8+56,32768,1,285663803
poseidon2,,bn254,3,single,8+56,65536,1,311173534
poseidon2,,bn254,4,single,8+56,32768,1,274196739
poseidon2,,goldilocks,8,single,8+22,524288,1,391456078
poseidon2,,goldilocks,12,single,8+22,262144,1,272705674
poseidon2,,mersenne31,16,single,8+14,262144,1,253272827
poseidon2,,mersenne31,24,single,8+22,131072,1,211118559
poseidon2,,koalabear,16,single,8+20,262144,1,279332424
poseidon2,,koalabear,24,single,8+23,131072,1,203000812
poseidon2,,babybear,16,single,8+13,262144,1,306934875
poseidon2,,babybear,24,single,8+21,131072,1,251533196
neptune,,bls12_381,4,single,6+69,32768,1,324373145
neptune,,bn254,4,single,6+69,32768,1,313001991
neptune,,goldilocks,8,single,6+38,262144,1,318978606
neptune,,goldilocks,12,single,6+42,131072,1,303955629
psquarehash,,mersenne31,16,single,52,262144,1,244171703
psquarehash,,mersenne31,24,single,52,262144,1,355680447
psquarehash,,koalabear,16,single,52,262144,1,312883299
psquarehash,,koalabear,24,single,52,131072,1,231690974
psquarehash,,babybear,16,single,52,262144,1,311508650
psquarehash,,babybear,24,single,52,131072,1,232826065
rescue_prime,,bls12_381,3,current,16,1024,1,345051309
rescue_prime,,bls12_381,3,original,14,1024,1,301672883
rescue_prime,,bls12_381,4,current,13,1024,1,375128583
rescue_prime,,bls12_381,4,original,11,1024,1,317552643
rescue_prime,,bn254,3,current,16,1024,1,338059886
rescue_prime,,bn254,3,original,14,1024,1,295778922
rescue_prime,,bn254,4,current,13,1024,1,367578026
rescue_prime,,bn254,4,original,11,1024,1,311043161
rescue_prime,,goldilocks,8,single,8,16384,1,252882528
rescue_prime,,goldilocks,12,single,8,16384,1,394331390
rescue_prime,,mersenne31,16,single,8,16384,1,329620659
rescue_prime,,mersenne31,24,single,8,8192,1,265110793
rescue_prime,,koalabear,16,single,8,8192,1,224464483
rescue_prime,,koalabear,24,single,8,8192,1,363575027
rescue_prime,,babybear,16,single,8,8192,1,245045295
rescue_prime,,babybear,24,single,8,8192,1,392492465
anemoi,,bls12_381,4,current,20,1024,1,288022480
anemoi,,bls12_381,4,original,14,1024,1,201674023
anemoi,,bn254,4,current,20,1024,1,282681823
anemoi,,bn254,4,original,14,2048,1,395756012
anemoi,,goldilocks,8,single,11,32768,1,346573994
anemoi,,goldilocks,12,single,10,16384,1,238379220
anemoi,,mersenne31,16,single,10,32768,1,341007023
anemoi,,mersenne31,24,single,9,16384,1,240391450
anemoi,,koalabear,16,single,10,16384,1,245938685
anemoi,,koalabear,24,single,9,16384,1,344824856
anemoi,,babybear,16,single,9,16384,1,241175766
anemoi,,babybear,24,single,9,16384,1,373840035
griffin,,bls12_381,3,current,20,2048,1,285684362
griffin,,bls12_381,3,original,14,4096,1,400601805
griffin,,bls12_381,4,current,20,2048,1,288650925
griffin,,bls12_381,4,original,11,4096,1,316560248
griffin,,bn254,3,current,20,2048,1,280773347
griffin,,bn254,3,original,14,4096,1,392939239
griffin,,bn254,4,current,20,2048,1,282574141
griffin,,bn254,4,original,11,4096,1,311338181
griffin,,goldilocks,8,single,8,131072,1,283356773
griffin,,goldilocks,12,single,8,131072,1,301735030
arion,,bls12_381,3,single,11,4096,1,341924367
arion,,bls12_381,4,single,10,4096,1,330110755
arion,,bn254,3,single,11,4096,1,333094991
arion,,bn254,4,single,10,4096,1,320840175
grendel,native,bls12_381,3,current,24,256,1,265869542
grendel,native,bls12_381,3,original,14,512,1,298128482
grendel,native,bls12_381,4,current,23,256,1,340083297
grendel,native,bls12_381,4,original,12,512,1,340063550
grendel,native,bn254,3,current,24,256,1,263307475
grendel,native,bn254,3,original,14,512,1,293849467
grendel,native,bn254,4,current,23,256,1,337604937
grendel,native,bn254,4,original,12,512,1,337619033
xhash,XHash8,goldilocks,12,single,6,32768,1,283485203
xhash,XHash12,goldilocks,12,single,6,32768,1,371120905
xhash,XHash16,mersenne31,24,single,6,32768,1,301262587
xhash,XHash24,mersenne31,24,single,6,32768,1,363424907
reinforced_concrete,,bls12_381,3,single,7,131072,1,241211432
reinforced_concrete,,bn254,3,single,7,131072,1,243056429
skyscraper,,bls12_381,4,single,18,262144,1,325274800
skyscraper,,bn254,4,single,18,262144,1,316833840
monolith,,goldilocks,8,single,6,1048576,1,265606780
monolith,,goldilocks,12,single,6,524288,1,205778682
monolith,,mersenne31,16,single,6,524288,1,214626092
monolith,,mersenne31,24,single,6,262144,1,218711375
polocolo,,bls12_381,3,single,6,1024,1,264883249
polocolo,,bls12_381,4,single,5,1024,1,293281466
polocolo,,bn254,3,single,6,1024,1,237193836
polocolo,,bn254,4,single,5,1024,1,264253543
tip4p,,goldilocks,12,single,5,262144,1,333144443
plain,sha256_compress,-,-,single,-,8388608,1,211667795
plain,keccak_f1600,-,-,single,-,524288,1,203481961
plain,blake2b_compress,-,-,single,-,2097152,1,240781398
plain,blake3_compress,-,-,single,-,4194304,1,272994604
gmimc,,bls12_381,3,single,228,16384,2,261149963
gmimc,,bls12_381,4,single,231,16384,2,266480142
gmimc,,bn254,3,single,228,16384,2,250368391
gmimc,,bn254,4,single,231,16384,2,253824809
gmimc,,goldilocks,8,single,68,524288,2,337438266
gmimc,,goldilocks,12,single,93,262144,2,235391900
gmimc,,mersenne31,16,single,158,262144,2,267468198
gmimc,,mersenne31,24,single,335,131072,2,318866888
gmimc,,koalabear,16,single,158,262144,2,305855578
gmimc,,koalabear,24,single,335,131072,2,331052896
gmimc,,babybear,16,single,158,131072,2,246995678
gmimc,,babybear,24,single,335,65536,2,259768022
gmimc2,alpha=8,bls12_381,3,single,63,32768,2,225586920
gmimc2,alpha=8,bls12_381,4,single,64,32768,2,231685575
gmimc2,alpha=8,bn254,3,single,63,32768,2,220500447
gmimc2,alpha=8,bn254,4,single,64,32768,2,224745569
gmimc2,alpha=4,goldilocks,8,single,88,262144,2,293914359
gmimc2,alpha=4,goldilocks,12,single,96,262144,2,361634983
gmimc2,alpha=2,mersenne31,16,single,176,65536,2,201950890
gmimc2,alpha=2,mersenne31,24,single,264,32768,2,224320154
gmimc2,alpha=2,koalabear,16,single,176,131072,2,291168769
gmimc2,alpha=2,koalabear,24,single,264,65536,2,234711489
gmimc2,alpha=2,babybear,16,single,176,131072,2,291625292
gmimc2,alpha=2,babybear,24,single,264,65536,2,235853512
poseidon,,bls12_381,3,single,8+56,16384,2,256193795
poseidon,,bls12_381,4,single,8+56,16384,2,380982090
poseidon,,bn254,3,single,8+56,16384,2,246201986
poseidon,,bn254,4,single,8+56,16384,2,368475353
poseidon,,goldilocks,8,single,8+22,131072,2,324627441
poseidon,,goldilocks,12,single,8+22,65536,2,309497252
poseidon,,mersenne31,16,single,8+14,65536,2,323289702
